key,ts,deleted,ko,ko_ts,en,en_ts
ev2.page1.cmd0,1770877165,,3333,1770877165,3333,1770875683
ev2.page1.cmd3,1770896445,,"스크롤 텍스트
1
2
3
4
5
",1770896445,,0
ev2.page1.cmd2.ch0,1770817286,1,첫번째거~,1770817286,firstone,1770817299
ev2.page1.cmd2.ch1,1770801771,1,2,1770801771,2,1770801771
ev2.page1.cmd2.ch2,1770801771,1,3,1770801771,3,1770801771
ev2.page1.cmd2.ch3,1770801771,1,4,1770801771,4,1770801771
ev2.page1.cmd2.ch4,1770801771,1,5,1770801771,5,1770801771
ev2.page1.cmd2.ch5,1770801771,1,6,1770801771,6,1770801771
ev2.page1.cmd16,1770817286,1,11111111,1770817286,11111111,1770817323
ev2.page1.cmd18,1770801771,1,11111111,1770801771,11111111,1770801771
ev2.page1.cmd4,1770801771,1,11111111,1770801771,11111111,1770801771
ev2.page1.cmd20,1770801771,1,11111111,1770801771,11111111,1770801771
