key,ts,deleted,ko,ko_ts,en,en_ts
ev1.page1.cmd0,1772355864,,"\c[14]【소코반】\c[0]
박스를 밀어 모든 목표 지점(★)에 올려놓으세요.
박스는 당길 수 없고 밀기만 가능합니다.
R키로 리셋, Z키로 한 수 되돌리기.
도전하시겠습니까?",1772355864,,0
ev1.page1.cmd6.ch0,1772355864,,도전,1772355864,,0
ev1.page1.cmd6.ch1,1772355864,,취소,1772355864,,0
ev1.page2.cmd0,1772355864,,\c[4][완료]\c[0] 이미 풀린 퍼즐입니다.,1772355864,,0
ev3.page1.cmd0,1772355864,,"\c[14]【소코반】\c[0]
박스를 밀어 모든 목표 지점(★)에 올려놓으세요.
박스는 당길 수 없고 밀기만 가능합니다.
R키로 리셋, Z키로 한 수 되돌리기.",1772355864,,0
ev4.page1.cmd0,1772355864,,"\c[3][슬라이딩 퍼즐]\c[0]
이 퍼즐로 이동하시겠습니까?",1772355864,,0
ev4.page1.cmd3.ch0,1772355864,,이동,1772355864,,0
ev4.page1.cmd3.ch1,1772355864,,취소,1772355864,,0
ev5.page1.cmd0,1772355864,,"\c[3][Lights Out]\c[0]
이 퍼즐로 이동하시겠습니까?",1772355864,,0
ev5.page1.cmd3.ch0,1772355864,,이동,1772355864,,0
ev5.page1.cmd3.ch1,1772355864,,취소,1772355864,,0
ev6.page1.cmd0,1772355864,,"\c[3][잠금장치]\c[0]
이 퍼즐로 이동하시겠습니까?",1772355864,,0
ev6.page1.cmd3.ch0,1772355864,,이동,1772355864,,0
ev6.page1.cmd3.ch1,1772355864,,취소,1772355864,,0
ev7.page1.cmd0,1772355864,,"\c[3][기억 게임]\c[0]
이 퍼즐로 이동하시겠습니까?",1772355864,,0
ev7.page1.cmd3.ch0,1772355864,,이동,1772355864,,0
ev7.page1.cmd3.ch1,1772355864,,취소,1772355864,,0
ev8.page1.cmd0,1772355864,,"\c[3][파이프 퍼즐]\c[0]
이 퍼즐로 이동하시겠습니까?",1772355864,,0
ev8.page1.cmd3.ch0,1772355864,,이동,1772355864,,0
ev8.page1.cmd3.ch1,1772355864,,취소,1772355864,,0
